"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Rubber and articles thereof",740,"Compounded Unvulcanised Rubber",74005,"Plastics and Rubbers",7,578,2019
"Rubber and articles thereof",740,"Unvulcanised Rubber Products",74006,"Plastics and Rubbers",7,646,2019
"Rubber and articles thereof",740,"Rubber Thread",74007,"Plastics and Rubbers",7,2585,2019
"Rubber and articles thereof",740,"Rubber Sheets",74008,"Plastics and Rubbers",7,1055,2019
"Rubber and articles thereof",740,"Rubber Pipes",74009,"Plastics and Rubbers",7,30068,2019
"Rubber and articles thereof",740,"Rubber Belting",74010,"Plastics and Rubbers",7,25346,2019
"Rubber and articles thereof",740,"Rubber Tires",74011,"Plastics and Rubbers",7,231729,2019
"Rubber and articles thereof",740,"Used Rubber Tires",74012,"Plastics and Rubbers",7,23298,2019
"Rubber and articles thereof",740,"Rubber Inner Tubes",74013,"Plastics and Rubbers",7,8729,2019
"Rubber and articles thereof",740,"Rubber Apparel",74015,"Plastics and Rubbers",7,55422,2019
"Rubber and articles thereof",740,"Other Rubber Products",74016,"Plastics and Rubbers",7,98251,2019
"Rubber and articles thereof",740,"Hard Rubber",74017,"Plastics and Rubbers",7,655,2019
"Raw hides and skins (other than furskins) and leather",841,"Equine and Bovine Hides",84101,"Animal Hides",8,5949208,2019
"Raw hides and skins (other than furskins) and leather",841,"Sheep Hides",84102,"Animal Hides",8,643,2019
"Raw hides and skins (other than furskins) and leather",841,"Other Hides and Skins",84103,"Animal Hides",8,3828544.0000000005,2019
"Raw hides and skins (other than furskins) and leather",841,"Tanned Equine and Bovine Hides",84104,"Animal Hides",8,854404,2019
"Raw hides and skins (other than furskins) and leather",841,"Tanned Sheep Hides",84105,"Animal Hides",8,247,2019
"Raw hides and skins (other than furskins) and leather",841,"Tanned Goat Hides",84106,"Animal Hides",8,480753,2019
"Raw hides and skins (other than furskins) and leather",841,"Leather of Other Animals",84107,"Animal Hides",8,36940,2019
"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",842,"Trunks and Cases",84202,"Animal Hides",8,122753,2019
"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",842,"Leather Apparel",84203,"Animal Hides",8,72581,2019
"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",842,"Other Leather Articles",84205,"Animal Hides",8,3532.0000000000005,2019
"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",842,"Articles of Gut",84206,"Animal Hides",8,285,2019
"Furskins and artificial fur; manufactures thereof",843,"Raw Furskins",84301,"Animal Hides",8,15035,2019
"Furskins and artificial fur; manufactures thereof",843,"Tanned Furskins",84302,"Animal Hides",8,53813.99999999999,2019
"Furskins and artificial fur; manufactures thereof",843,"Furskin Apparel",84303,"Animal Hides",8,1519,2019
"Wood and articles of wood; wood charcoal",944,"Fuel Wood",94401,"Wood Products",9,3145,2019
"Wood and articles of wood; wood charcoal",944,"Wood Charcoal",94402,"Wood Products",9,1489.9999999999998,2019
"Wood and articles of wood; wood charcoal",944,"Rough Wood",94403,"Wood Products",9,7286855.000000001,2019
"Wood and articles of wood; wood charcoal",944,"Wood Stakes",94404,"Wood Products",9,43782,2019
"Wood and articles of wood; wood charcoal",944,"Sawn Wood",94407,"Wood Products",9,28260908,2019
"Wood and articles of wood; wood charcoal",944,"Veneer Sheets",94408,"Wood Products",9,433217,2019
"Wood and articles of wood; wood charcoal",944,"Shaped Wood",94409,"Wood Products",9,230804,2019
